text,source,label
sounds like some shit i would do if i felt like a asshole,youtube,
I’m watching this 6 years later and WTF,youtube,
It is like a prank call.,youtube,
You could go to jail for that,youtube,
"Well,this is cyberbullying AND MOST DEFINITELY Catfishing alright.<br>Lesson learnt here:NEVER get yourself involved in ANYTHING rude,OR inappropriate that ANY of your friends would want to do!! <br>Or,persuade them to stay out of doing it in the 1st place!<br>Did no other school teachers see this girl twisting her hair,at Jason?<br>Then they could have asked what it were all about,then getting told about what was going on.<br>Resulting in your laughing being told about you being the culprits behind it all.<br>The school should have then seen the messages that Scarlett and her friend sent the girl,pretending to be Jason,resulting in the photo of the girl naked being noticed also,THAT getting reported to the police too.<br>No matter if someone is someone you like,or not,yet alone catfishing,NEVER send photos of yourself naked!!<br>The girls parents need to punish her,for sending that.<br>Fab story,Scarlett,thanks for sharing ❤❤❤❤",youtube,
Can Nev and max com???😂😂😂,youtube,
Once a boy asked me to send a picture of my butt throguh text. It was a joke but it still was inappropriate,youtube,
"Play stupid games, win stupid prizes",youtube,
"<a href=""https://www.youtube.com/watch?v=0YpA7JGRC-0&amp;t=166"">02:46</a> I would do that last one you said.",youtube,
i think that&#39;s catfishing,youtube,
They ruined her life and just get grounded?? throw them in jail tf,youtube,
That’s why you have to pause think online you never know if you are bullying someone,youtube,
when she said so funny tou coud tell it in her voice she didn mean it and she probly felt like trash,youtube,
you look like a mug,youtube,
“Really gross things like asking her for nudes” is INSANE,youtube,
"<a href=""https://www.youtube.com/watch?v=0YpA7JGRC-0&amp;t=19"">0:19</a> <a href=""https://www.youtube.com/watch?v=0YpA7JGRC-0&amp;t=50"">0:50</a>",youtube,
"<a href=""https://www.youtube.com/watch?v=0YpA7JGRC-0&amp;t=74"">1:14</a> That&#39;s Horrible! You can&#39;t do that!!",youtube,
Man I never got grounded but I already fight my parents,youtube,
Stuff like this happening is why I hate when people treat things like this happening as “Just pixels on a screen” This isn’t just straight-up catfishing (which is also considered another type of cyberbullying especially when others get involved in it) it’s CHILD P*RNOGRAPHY (I censored the word in case yt takes this comment down) <br><br><br> And strict parents wonder why their kids become so sneaky to the point of doing something like this.,youtube,
never played with people feelings or using someone else picture is not a game nothing is,youtube,
This is why my mom always says to me: “It’s better to be alone than to have bad friends”.,youtube,
"cyber bullying is no joke, it can make anybody become arrogant and condescending believing they can get away with it. As Mike Tyson says, &quot;Social media made y&#39;all way too comfortable with disrespecting people and not getting punched in the face for it.&quot;",youtube,
What&#39;s the name of the movie,youtube,
Wow <br>😢 <br>The title please,youtube,
"NO NO NOOOOOO,,,,HIZO LO QUE CASI CUALQUIER PADRE DESESPERADO HARÍA,,DEBEN LOS MAESTROS ESCUCHAR Y OBSERVAR, Y TOMAR CARTAS EN EL ASUNTO,,,MEJOR IR A PONER UN ALTO,A RECIBIR LA NOTICIA DE QUE ACABAN DE MATAR A GOLPES A SU HIJO Y LO GRABARON 😡...BRAVO POR LOS TAMAÑOS DEL SEÑOR,, OJALÁ TAMBIÉN INVESTIGUEN A LA FAMILIA DEL QUE HACÍA EL BULYN AL JOVEN",youtube,
Por que No interbinieron esto..el papá a de aber estado muuuy desesperado..,youtube,
A eso nos obligan y que bueno que el señor tubo ese valor 🎉 mocosos cobardes que se creen valientes amedrentando a sus compañeros y los maestros y autoridades nunca hacen nada cobardes igual que los atacantes,youtube,
"Yo hice lo mismo con mis hijos, nunca amenacé de muerte a ningún escuincle yo entraba a la escuela buscaba al chamaco y entre otras cosas que le decía agregaba   Te voy a desollar vivo   Jajaja, además conseguía su dirección y con varios amigos buscábamos al escuincle y a sus papás , sin embargo los papás se asustaban tanto que hablábamos y se arreglaban las cosas, y no se metían ya nunca más con mis hijos jajaja deberían haber visto sus caras eso y más merecían para que educaran a sus escuincles , me alegro haberlo hecho fue hace más de 20 años",youtube,
"bien por el papá, a falta de acciones por parte de la escuela para detener el bulling el tenis que hacer eso, a grande males grandes remedios",youtube,
Así es ! Algo tenemos que hacer los padres con estos jóvenes abusones hijos de su rpm…😡,youtube,
"Los maestros no hacen nada ni la fiscalía y para q el PP haya  actuado así  ñ es grave la situación las golpizas al muchacho y bulling ,,,es demasiado la violencia el acoso escolar ha habido suicidios muertes",youtube,
"Desafortunadamente cuando agreden a alguien no se hace nada, y cuando la víctima se defiende o alguien lo defiende ahora si los agresores protestan",youtube,
"Quienes cruzaron la línea grave son los que hacen bulling y las escuelas que no hacen nada, bien por el padre",youtube,
A ese nivel se tiene que llegar!! Papás  por favor eduquen a sus hijos enséñales buenos valores y empatia así se evitarían  este tipo de conflictos!😢<br>Por supuesto que cualquier padre sentiría impotencia y claro que va a defender a sus hijos!,youtube,
"Sergio podías decirnos qué pasó en los casos<br><br>Fátima Mayte 13 años arrojada de un 3er piso por gustarle el K-pop <br>Jeremy 15 años apuñalado por presunto caso de 4cos0.<br>Nicole 12 años (misma escuela al caso anterior) golpeada por usar tenis pirata.<br>Dilan 13 años, amenazado y golpeado en nov. 2025<br>Sisley 19 años, agred1d4 por 4, y terminó en silla de ruedas.<br>NORMA LIZBETH ✝️ muer3 dos días después y la 4535ina Azahara, queda en libertad después de solo 2 años 3 meses, además que intentó huir con ayuda de sus padres. <br><br>Son solo algunos casos que me acuerdo y más recientes, y de los que me acuerdo; me parece importante saber que sucedió o cómo van los casos y así tal vez… exigir justicia!!",youtube,
"Ahora si atendieron los directivos y la fiscalia, porque no se actúa antes de que pasen las agresiones, como madre apoyo a este señor hay padres que no sabe controlar a sus chamakos y más cuando son abusadores",youtube,
Ese papá debió hacerlo fuera de la escuela. Tomar justicia por su propia mano y aquí no ha pasado nada.,youtube,
"estaba mejor la educación de antes, y los padres,los jóvenes de hoy no respetan a nadie ni nada, todo para ellos es juego ya no existe mano dura por parte de padres ni maestros, porque hasta ellos les tienen miedo😢 cada vez está peor 😡",youtube,
Aunque el chico agredido hubiera llegado al hospital o peor hasta atentar contra su vida por el bullyng la escuela no hubiera hecho nada es cierto no es lo correcto pero hay momentos que buscas ayuda porque agreden a tu hijo y nadie te escucha,youtube,
"Víctimas de bullying se quitan la vida, y cuando pienso en eso, digo que porque no se juzga a los victimarios uno por uno como si fuera un as3sin4to. La persona pierde la vida, porque te acosan de tal modo , y no se cansan de acosarte, gozan, se regocijan degradando a otro ser humano. O tal vez ya hayan algunas leyes, pero no veo que se apliquen adecuadamente.",youtube,
"Si mis hijos han Sido agredidos, igual voy y parto madres. Obvio..!! 😊",youtube,
Hasta yo lo aria .....ya estuvo bueno,youtube,
"Un padre o madre hace lo qué sea lo qué sea con tal de defender a sus hijos, un hijo se defiende con uñas y dientes y por lo qué dijeron ya habian puesto una queja cómo desde hace 1 año si mal no escuché ósea qué están esperando a qué pase una desgracia cómo a sucedido en varios casos si entonces uno cómo padre tiene qué poner un alto y defender a su cría si o si y mi apoyo es para el papá, porqué yo tmbn soy mamá y haria lo qué sea con tal de defender a mi hija",youtube,
"Yo estoy de acuerdo con el papá del muchacho,  los buleadores son criminales en potencia, son abusadores que van quedando impunes y cada día va a más su abuso.<br>Las autoridades educativas son indolentes y miedosas para imponer el orden y sancionar adecuadamente.",youtube,
Yo ubiese hecho lo mismo a mi hijo nadie lo toca y si la escuela no hizo nada ten pOr seguro que ahí estaria yo haciendo todo por el 😡😡😡😡😡😡😡😡😡😡,youtube,
Las autoridades se deberán preguntar qué hizo la escuela por el niño <br>Y qué nivel de impotencia  tenía ya el padre que lo orilló a proceder así,youtube,
"Se deben levantar reportes a los alumnos que tengan mala conducta y si no entienden como deben comportarse expulsarlos y se les debe dar más autoridad a los docentes, para poner límites a los alumnos con mala conducta.",youtube,
"No le dieron otra salida al padre ya que dicen que tenia un año de eso , el padre también temia por la vida y seguridad de su hijo y eso no lo vieron hasta que estw padre tomó cartas en el asunto y resolverlo por si solo ya que nadie hacia nada , los buleadores deberian de ser expulsados ya que parece que tienen  materia fecal en la cabeza y materia gris",youtube,
"Ahora si se indignan,  y lo que le estaban haciendo al muchacho que? Eso no es malo? El padre hizo lo correcto,  para evitar una tragedia con su hijo",youtube,
Yo como madre de familia aria lo mismo  x mis hijas hoy día no debemos permitir bullying creo a ningún padre le gusta que sus hijos reciban este tipo de conductas hacia nuestros hijos.,youtube,
"Será más fácil sancionar al padre de familia reclamante, que atacar el severo problema de bulling escolar que rebasa a las autoridades de la SEP. Qué más riesgozo que golpeen a otro estudiante o lo orillen a atentar contra el mismo por el acoso, o un padre desesperado que solo se desahogó (no grito ni se exaltó). Todo en su justa medida.",youtube,
Apoyo al papá por actuar y cuidar a su hijo.<br>Que por lo visto los profesores y la dirección  no hacen nada,youtube,
"Yo hubiera hecho lo mismo, lo que sí, sin una pistola…",youtube,
"Esto no sucedería si las autoridades tuvieran un protocolo conjunto con los padres de familia, la policía y las autoridades escolares, desde el principio se debería firmar un documento, con los padres, que especifique que estas conductas tienen cero tolerancia y serán motivo de expulsión definitiva.",youtube,
Perdón pero después de un año Jodiendo y acosando a mu hijo y asta agresiones a recibido por parte de esos jijos  acosadores y los Maestros no hicieron nada. Yo no entro a amenazar yo me voy directo sobre esos Cabrojijos de la Chingad. Como es posible  más de un año pidiendo ayuda y nadie de la escuela  hizo nada  solo los encubren. Pues para mi ese señor se miró muy decente porque yo no señores. Yo hubiera actuado muy diferente directo sobre esos Cabron. Ojalá ese señor salga bien de esto pues no es justo que en sima ahora sea el al que lo jodan. Mejor  chequen a los acosadores y a sus padres y  a la directora de la escuela y maestros todos esos son los cabrones y culpables 🤬🤬🤬🤬🤬,youtube,
Si quién en la escuela no pone un alto él padre se vio obligado a tomar acciones no justificadas hoy en día los que hacen bullyn sé juntan  contra una sola persona,youtube,
"El padre solo llegó a ese extremo porque solo así lograría la atención a las autoridades competentes para solucionar este delito, si delito. <br>Según dice el padre esto lleva más de un año, y nunca las autoridades tomaron cartas en el asunto. O estaban esperando a que este acoso se convierta en algo peor?",youtube,
HAY POR FAVOR!!! ESTOS PUBERTOS METEN ARMAS A LAS ESCUELAS Y NI CUENTA SE DAN!!! O COMO APUÑALARON AL PROFESOR RECIENTEMENTE???!! Y AHI NO HAY PROBLEMA????..ESTO ESTA ESCALANDO MUY FEO...,youtube,
Ya haría exactamente lo mismo que este señor,youtube,
Yo hise lo mismo . Y no me arrepiento.,youtube,
Cuántos casos similares ha habido donde las escuelas no hacen nada ... Y esos casos de bullying han terminado incluso en muerte de la víctima ... No justifico la violencia y no creo que la violencia se deba parar con más violencia pero al estar de por medio la integridad de un hijo o hija ... Haría exactamente lo mismo...,youtube,
Tuvo el padre qye intervenir pues los maestros solo se preocupan por su sueldo y dias de descanso ..El padre solo defendió  a su hijo eso es todo ..,youtube,
"LAS AUTORIDADES EDUCATIVAS NO HACEN NADA ( O MUY POCO) EN CONTRA EL ABUSO ESCOLAR.DENUNCIAS Y NO HACEN LO CORRESPONDIENTE EN ESTOS CASOS. Y LA HISTORIA NOS LLEVA AL ASESINATO DE MENORES POR PARTE DE MENORES ...Y HASTA EL  SUICIDIO. QUE HACEMOS COMO PADRES CUANDO NUESTRO HIJO SUFRE...???!! LO DEFIENDES Y TE LA JUEGAS!!!..Y ESTOS VERDOLAGONES DE PREPA YA SABEN LAS CONSECUENCIAS., NO HAY NINGUNA POR ESO LO HACEN.!!!..",youtube,
"Perfecto! El padre hablo y actuó energicamente!, actualmente no se realizan acciones y si golpearon a su hijo, si fuera mi hija, haría lo mismo... Sin embargo allí tienen que hacer las escuelas, para eso se paga!",youtube,
"En todos los niveles desde preescolar pasa, por eso muchos desertan. Ya ni los maestros son autoridad,a los niños los discriminan porque tienen gripa o tos. Les dicen que si no llevan regalo de día del maestro no salen temprano, no les dan los libros correctos para tareas,(en el instituto Matilde Montoya de lomas Cuautitlán). Deberían ir Supervisores a cada escuela de manera continua (no solo 1 vez) para sancionar, corregir y exigir mejor educación, convivencia,etc. Yo trato de aportar con una opinión sencilla.",youtube,
"El pobre padre estaba desesperado al ver que su hijo ha sufrido maltratos fisicos y psicologicos desde hace un año y nadie hizo nada, el papá no va a esperar a que un dia desvivan a su hijo. Olala encierren a esos &quot; seudo estudiantes bulleadores&quot;",youtube,
"Yo hubiera hecho lo mismo que el señor, los menores se aprobechan de ser MENORES para ser delincuentes y hasta asesinar a compañeros total no les hacen nada por ser MENORES, las leyes mexicanas deben ser reformadas para estos delincuentes &quot;MENORES&quot;",youtube,
Prefieren que se suiciden o maten a sus hijos. Yo haría lo misimo si no atiende la institución el caso...no ven las noticias,youtube,
"Y la facilidad con que los mismos estudiantes agreden a las víctimas, hasta cuando permitiremos la indiferencia de las instituciones pasan como poca cosa, y los agresores se salen con la suya. Estuvo bien lo que hizo el padre de ese joven, antes de que fuera demasiado tarde para sus hijos.",youtube,
"A mí también me dan ganas de hacer lo mismo que ese padre,a mi nieta ya la agarraron de piñata.<br>Las autoridades escolares, bien gracias.",youtube,
"Eso pasa por que los padres de los acosadores no educan bien a sus hijos, no les enseñan respeto y limites, la educacion es responsabilidad de los padres",youtube,
Estuvo bien xk ya la escuela es de puros jóvenes violentos y delincuentes no todos pero la mayoría,youtube,
Bien por el Padre...,youtube,
See ! How mentally derained this bully is ? Hope he&#39;ll be welcome inside a Psycho ward forever !,youtube,
Hamstwo Powinno Być Zawsze Ponieść Srogom Kare,youtube,
Why is it every student has to be a mobile moron 0 everyone thinks they&#39;re above they need to be humble and beneath them for as long as they&#39;re naked I should have been had an ass whooping❤😅,youtube,
Dude you just got yo azz Karma 😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊,youtube,
I hope he was punished for his little outburst,youtube,
"Here&#39;s a comment on bullying,do not let anybody bully you because they got the  bullying habit from someone else.bullying is despicable something that shouldn&#39;t happen to a disabled person or someone that cant interpret things the same as anyone else.alsk I&#39;m not saying to fight back or anything,im just saying that you don&#39;t deserve that treatment. Have a great rest of your day or night.",youtube,
"Hey I saw you today at your house with your loud car that thing is sick 🎉 I didn’t realize it was you I always watch your videos 😂 And btw you live less than a mile away from me <a href=""https://www.youtube.com/watch?v=__42qi2Sydo&amp;t=47"">0:47</a>",youtube,
The old man that was bullying the driver yeah he said he was the victim in a zesty way 😭,youtube,
I make bullies cry like little bitches,youtube,
"yo, someone bullied me at school I got detention cause I hit them back and I beat the fuck out of them. I’m only a fifth grade.",youtube,
"<a href=""https://www.youtube.com/watch?v=__42qi2Sydo&amp;t=764"">12:44</a> is one of the reasons why  kids school kill them self",youtube,
Under a day???,youtube,
"<a href=""https://www.youtube.com/watch?v=__42qi2Sydo&amp;t=1049"">17:29</a> FAHHHH",youtube,
"<a href=""https://www.youtube.com/watch?v=__42qi2Sydo&amp;t=1232"">20:32</a> 100% of course I am I’ll smack the dog food out of her😊 respectfully",youtube,
Most of these people  I’d hit ‘em with the 1#2 right hook combo,youtube,
Under 10 hrs 👇,youtube,
"<a href=""https://www.youtube.com/watch?v=__42qi2Sydo&amp;t=739"">12:19</a> bro why you almost laugh bro YOUR SO MEAN",youtube,
Ey the last two people that tried to do something to me I almost slimed them out in the middle of school one in lunch the other in class the first one almost stabbed him the second one almost choked him to death,youtube,
call ice is craszzzyyyyy,youtube,
Bro someone pours milk on me istg they are literally pulse 0,youtube,
3 hrs ago gang<br>👇🏽,youtube,
"Bro i wake up in <a href=""https://www.youtube.com/watch?v=__42qi2Sydo&amp;t=169"">2:49</a> end now is <a href=""https://www.youtube.com/watch?v=__42qi2Sydo&amp;t=209"">3:29</a>",youtube,
Lowkey you should collab with Khan Asadi it would be crazzyyyyy,youtube,
Under 3 hours,youtube,
"<a href=""https://www.youtube.com/watch?v=__42qi2Sydo&amp;t=1211"">20:11</a>😂",youtube,
day 9 of trying to marry zars,youtube,
The thumbnail must be a real fight gng,youtube,
Luv the vids,youtube,
"<a href=""https://www.youtube.com/watch?v=__42qi2Sydo&amp;t=460"">7:40</a> he’s not that tall, at my school was getting bullied so he came, his name it’s king Kyle Lee.",youtube,
Under 1 hour,youtube,
Since unc posted it’s a good day,youtube,
HOLY SHIT IM EARLY,youtube,
17 minssssssas btw can you do the baby face filter troll again pls?,youtube,
U are the funniest,youtube,
peak vid btw,youtube,
"Those who made it before an hour, cause I haven’t got one minute",youtube,
Bro this video was so good i watched the entire thing smiling it totally didn’t come out 1 minute ago,youtube,
Wsp goodie gang,youtube,
Yt hid this for 1 min-,youtube,
Yo zars Im a big fan of,youtube,
Bro why the first one in the intro look like smthn else.. ifykyk.,youtube,
I love ur vids,youtube,
First hi zars,youtube,
“gimme that” 😤,youtube,
"He’s so self-aware that if the Garfield shirt boy reported him to the counselor, she’d be calling Mayim Bialik to study him",youtube,
Gimme that!,youtube,
"Bubbles! Andre Rayo, what a legend",youtube,
This supposed skit solved bullying in under two minutes.,youtube,
"<a href=""https://www.youtube.com/watch?v=CUvFeyGxaaU&amp;t=21"">0:21</a>",youtube,
